row,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
36,"42"" Base Cabinet: 2 Doors & 2 False Drawers",SB42,883,ONB-SB42,803,WHS-SB42,883,ESS-SB42,883,SIB-SB42,803,GRS-SB42,883,UPB-SB42,883,MSL-SB42,883,DGS-SB42,2
37,"Farm Sink Base Cabinet, 24"" Depth",,,,,,,,,,,,,,,,,,
38,"36"" Base Cabinet: 2 Doors & 33"" W x 10"" Opening for Sink",FSM36,880,"CONCATENATE(""ONB-"",B38)",800,"CONCATENATE(""WHS-"",B38)",880,"CONCATENATE(""ESS-"",B38)",880,"CONCATENATE(""SIB-"",B38)",800,"CONCATENATE(""GRS-"",B38)",880,"CONCATENATE(""UPB-"",B38)",880,"CONCATENATE(""MSL-"",B38)",880,"CONCATENATE(""DGS-"",B38)",2
39,"Corner Sink Base Cabinet, 24"" Depth",,,,,,,,,,,,,,,,,,
40,"42"" Base Cabinet: 1 24"" Door, fits in a 42"" x 42"" corner space",CSB42,982,"CONCATENATE(""ONB-"",B40)",893,"CONCATENATE(""WHS-"",B40)",982,"CONCATENATE(""ESS-"",B40)",982,"CONCATENATE(""SIB-"",B40)",893,"CONCATENATE(""GRS-"",B40)",982,"CONCATENATE(""UPB-"",B40)",982,"CONCATENATE(""MSL-"",B40)",982,"CONCATENATE(""DGS-"",B40)",2
41,"Corner Base Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
42,"36"" Base Cabinet: 2 Doors, Turntable, fits in a 36"" x 36"" corner space",BLS36-SP,1165,"CONCATENATE(""ONB-"",B42)",1059,"CONCATENATE(""WHS-"",B42)",1165,"CONCATENATE(""ESS-"",B42)",1165,"CONCATENATE(""SIB-"",B42)",1059,"CONCATENATE(""GRS-"",B42)",1165,"CONCATENATE(""UPB-"",B42)",1165,"CONCATENATE(""MSL-"",B42)",1165,"CONCATENATE(""DGS-"",B42)",1
43,"42"" Base Cabinet: 1 Door & 1 Drawer, Reversible, requires at least 3"" pull",BBC42,1036,ONB-BBC42,942,WHS-BBC42,1036,ESS-BBC42,1036,SIB-BBC42,942,GRS-BBC42,1036,UPB-BBC42,1036,MSL-BBC42,1036,DGS-BBC42,2
44,"Spice Base Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
45,"6"" Base Cabinet: 5 Drawers, No soft close, No drawer guides",BWRC6,517,"CONCATENATE(""ONB-"",B45)",470,"CONCATENATE(""WHS-"",B45)",517,"CONCATENATE(""ESS-"",B45)",517,"CONCATENATE(""SIB-"",B45)",470,"CONCATENATE(""GRS-"",B45)",517,"CONCATENATE(""UPB-"",B45)",517,"CONCATENATE(""MSL-"",B45)",517,"CONCATENATE(""DGS-"",B45)",0
46,"9"" Base Cabinet: 1 Door with pullout, Three 4"" wide levels",SP09,494,ONB-SP09,449,WHS-SP09,494,ESS-SP09,494,SIB-SP09,449,GRS-SP09,494,UPB-SP09,494,MSL-SP09,494,DGS-SP09,1
47,"Base End Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
48,"24"" Base Cabinet: 2 Doors & 2 False Drawers",BEC24,1030,"CONCATENATE(""ONB-"",B48)",936,"CONCATENATE(""WHS-"",B48)",1030,"CONCATENATE(""ESS-"",B48)",1030,"CONCATENATE(""SIB-"",B48)",936,"CONCATENATE(""GRS-"",B48)",1030,"CONCATENATE(""UPB-"",B48)",1030,"CONCATENATE(""MSL-"",B48)",1030,"CONCATENATE(""DGS-"",B48)",2
49,"9"" Base Cabinet: 3 Shelves, Specify Left or Right",BES09L/R,648,ONB-BES09L/R,589,WHS-BES09L/R,648,ESS-BES09L/R,648,SIB-BES09L/R,589,GRS-BES09L/R,648,UPB-BES09L/R,648,MSL-BES09L/R,648,DGS-BES09L/R,0
50,"Pantry Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
51,"18"" Pantry Cabinet: 2 Doors, 18"" W x 84"" H x 24"" D",PC188424,1472,"CONCATENATE(""ONB-"",B51)",1338,"CONCATENATE(""WHS-"",B51)",1472,"CONCATENATE(""ESS-"",B51)",1472,"CONCATENATE(""SIB-"",B51)",1338,"CONCATENATE(""GRS-"",B51)",1472,"CONCATENATE(""UPB-"",B51)",1472,"CONCATENATE(""MSL-"",B51)",1472,"CONCATENATE(""DGS-"",B51)",2
52,"18"" Pantry Cabinet: 2 Doors, 18"" W x 90"" H x 24"" D",PC189024,1577,ONB-PC189024,1434,WHS-PC189024,1577,ESS-PC189024,1577,SIB-PC189024,1434,GRS-PC189024,1577,UPB-PC189024,1577,MSL-PC189024,1577,DGS-PC189024,2
53,"18"" Pantry Cabinet: 2 Doors, 18"" W x 96"" H x 24"" D",PC189624,1625,ONB-PC189624,1477,WHS-PC189624,1625,ESS-PC189624,1625,SIB-PC189624,1477,GRS-PC189624,1625,UPB-PC189624,1625,MSL-PC189624,1625,DGS-PC189624,2
54,"24"" Pantry Cabinet: 4 Doors, 24"" W x 84"" H x 24"" D",PC248424,1707,ONB-PC248424,1552,WHS-PC248424,1707,ESS-PC248424,1707,SIB-PC248424,1552,GRS-PC248424,1707,UPB-PC248424,1707,MSL-PC248424,1707,DGS-PC248424,4
55,"24"" Pantry Cabinet: 4 Doors, 24"" W x 90"" H x 24"" D",PC249024,1806,ONB-PC249024,1642,WHS-PC249024,1806,ESS-PC249024,1806,SIB-PC249024,1642,GRS-PC249024,1806,UPB-PC249024,1806,MSL-PC249024,1806,DGS-PC249024,4
56,"24"" Pantry Cabinet: 4 Doors, 24"" W x 96"" H x 24"" D",PC249624,1871,ONB-PC249624,1701,WHS-PC249624,1871,ESS-PC249624,1871,SIB-PC249624,1701,GRS-PC249624,1871,UPB-PC249624,1871,MSL-PC249624,1871,DGS-PC249624,4
57,"30"" Pantry Cabinet: 4 Doors, 30"" W x 84"" H x 24"" D",PC308424,2119,ONB-PC308424,1926,WHS-PC308424,2119,ESS-PC308424,2119,SIB-PC308424,1926,GRS-PC308424,2119,UPB-PC308424,2119,MSL-PC308424,2119,DGS-PC308424,4
58,"30"" Pantry Cabinet: 4 Doors, 30"" W x 90"" H x 24"" D",PC309024,2284,ONB-PC309024,2076,WHS-PC309024,2284,ESS-PC309024,2284,SIB-PC309024,2076,GRS-PC309024,2284,UPB-PC309024,2284,MSL-PC309024,2284,DGS-PC309024,4
59,"30"" Pantry Cabinet: 4 Doors, 30"" W x 96"" H x 24"" D",PC309624,2472,ONB-PC309624,2247,WHS-PC309624,2472,ESS-PC309624,2472,SIB-PC309624,2247,GRS-PC309624,2472,UPB-PC309624,2472,MSL-PC309624,2472,DGS-PC309624,4
60,"Oven Cabinets, 24"" Depth",,,,,,,,,,,,,,,,,,
61,"18"" Oven Cabinet: 2 Doors & 3 Drawers, 33"" W x 84"" H x 24"" D",OC338424,2349,"CONCATENATE(""ONB-"",B61)",2135,"CONCATENATE(""WHS-"",B61)",2349,"CONCATENATE(""ESS-"",B61)",2349,"CONCATENATE(""SIB-"",B61)",2135,"CONCATENATE(""GRS-"",B61)",2349,"CONCATENATE(""UPB-"",B61)",2349,"CONCATENATE(""MSL-"",B61)",2349,"CONCATENATE(""DGS-"",B61)",5
62,"18"" Oven Cabinet: 2 Doors & 3 Drawers, 33"" W x 84"" H x 24"" D",OC339024,2395,ONB-OC339024,2177,WHS-OC339024,2395,ESS-OC339024,2395,SIB-OC339024,2177,GRS-OC339024,2395,UPB-OC339024,2395,MSL-OC339024,2395,DGS-OC339024,5
63,"18"" Oven Cabinet: 2 Doors & 3 Drawers, 33"" W x 84"" H x 24"" D",OC339624,2419,ONB-OC339624,2199,WHS-OC339624,2419,ESS-OC339624,2419,SIB-OC339624,2199,GRS-OC339624,2419,UPB-OC339624,2419,MSL-OC339624,2419,DGS-OC339624,5
64,"Wall Cabinets, 12"" Depth",,,,,,,,,,,,,,,,,,
65,"Wall Cabinet: 1 Door, 9"" W x 30"" H",W0930,376,"CONCATENATE(""ONB-"",B65)",342,"CONCATENATE(""WHS-"",B65)",376,"CONCATENATE(""ESS-"",B65)",376,"CONCATENATE(""SIB-"",B65)",342,"CONCATENATE(""GRS-"",B65)",376,"CONCATENATE(""UPB-"",B65)",376,"CONCATENATE(""MSL-"",B65)",376,"CONCATENATE(""DGS-"",B65)",1
66,"Wall Cabinet: 1 Door, 12"" W x 30"" H",W1230,394,ONB-W1230,358,WHS-W1230,394,ESS-W1230,394,SIB-W1230,358,GRS-W1230,394,UPB-W1230,394,MSL-W1230,394,DGS-W1230,1
67,"Wall Cabinet: 1 Door, 15"" W x 30"" H",W1530,424,ONB-W1530,385,WHS-W1530,424,ESS-W1530,424,SIB-W1530,385,GRS-W1530,424,UPB-W1530,424,MSL-W1530,424,DGS-W1530,1
68,"Wall Cabinet: 1 Glass Door, 15"" W x 30"" H",W1530GD,451,ONB-W1530GD,410,WHS-W1530GD,451,ESS-W1530GD,451,SIB-W1530GD,410,GRS-W1530GD,451,UPB-W1530GD,451,MSL-W1530GD,451,DGS-W1530GD,1
69,"Wall Cabinet: 1 Door, 18"" W x 30"" H",W1830,459,ONB-W1830,417,WHS-W1830,459,ESS-W1830,459,SIB-W1830,417,GRS-W1830,459,UPB-W1830,459,MSL-W1830,459,DGS-W1830,1
70,"Wall Cabinet: 1 Glass Door, 18"" W x 30"" H",W1830GD,491,ONB-W1830GD,446,WHS-W1830GD,491,ESS-W1830GD,491,SIB-W1830GD,446,GRS-W1830GD,491,UPB-W1830GD,491,MSL-W1830GD,491,DGS-W1830GD,1
71,"Wall Cabinet: 1 Door, 21"" W x 30"" H",W2130,494,ONB-W2130,449,WHS-W2130,494,ESS-W2130,494,SIB-W2130,449,GRS-W2130,494,UPB-W2130,494,MSL-W2130,494,DGS-W2130,1
72,"Wall Cabinet: 2 Doors, 24"" W x 30"" H",W2430,541,ONB-W2430,492,WHS-W2430,541,ESS-W2430,541,SIB-W2430,492,GRS-W2430,541,UPB-W2430,541,MSL-W2430,541,DGS-W2430,2
73,"Wall Cabinet: 2 Doors, 27"" W x 30"" H",W2730,589,ONB-W2730,535,WHS-W2730,589,ESS-W2730,589,SIB-W2730,535,GRS-W2730,589,UPB-W2730,589,MSL-W2730,589,DGS-W2730,2
74,"Wall Cabinet: 2 Doors, 30"" W x 30"" H",W3030,624,ONB-W3030,567,WHS-W3030,624,ESS-W3030,624,SIB-W3030,567,GRS-W3030,624,UPB-W3030,624,MSL-W3030,624,DGS-W3030,2
75,"Wall Cabinet: 2 Glass Doors, 30"" W x 30"" H",W3030GD,668,ONB-W3030GD,607,WHS-W3030GD,668,ESS-W3030GD,668,SIB-W3030GD,607,GRS-W3030GD,668,UPB-W3030GD,668,MSL-W3030GD,668,DGS-W3030GD,2
76,"Wall Cabinet: 2 Doors, 33"" W x 30"" H",W3330,666,ONB-W3330,605,WHS-W3330,666,ESS-W3330,666,SIB-W3330,605,GRS-W3330,666,UPB-W3330,666,MSL-W3330,666,DGS-W3330,2
77,"Wall Cabinet: 2 Doors, 36"" W x 30"" H",W3630,694,ONB-W3630,631,WHS-W3630,694,ESS-W3630,694,SIB-W3630,631,GRS-W3630,694,UPB-W3630,694,MSL-W3630,694,DGS-W3630,2
78,"Wall Cabinet: 2 Glass Doors, 36"" W x 30"" H",W3630GD,743,ONB-W3630GD,675,WHS-W3630GD,743,ESS-W3630GD,743,SIB-W3630GD,675,GRS-W3630GD,743,UPB-W3630GD,743,MSL-W3630GD,743,DGS-W3630GD,2
79,"Wall Cabinet: 2 Doors, 42"" W x 30"" H",W4230,736,ONB-W4230,669,WHS-W4230,736,ESS-W4230,736,SIB-W4230,669,GRS-W4230,736,UPB-W4230,736,MSL-W4230,736,DGS-W4230,2
80,"Wall Cabinet: 1 Door, 9"" W x 36"" H",W0936,388,ONB-W0936,353,WHS-W0936,388,ESS-W0936,388,SIB-W0936,353,GRS-W0936,388,UPB-W0936,388,MSL-W0936,388,DGS-W0936,1
81,"Wall Cabinet: 1 Door, 12"" W x 36"" H",W1236,424,ONB-W1236,385,WHS-W1236,424,ESS-W1236,424,SIB-W1236,385,GRS-W1236,424,UPB-W1236,424,MSL-W1236,424,DGS-W1236,1
82,"Wall Cabinet: 1 Door, 15"" W x 36"" H",W1536,465,ONB-W1536,423,WHS-W1536,465,ESS-W1536,465,SIB-W1536,423,GRS-W1536,465,UPB-W1536,465,MSL-W1536,465,DGS-W1536,1
83,"Wall Cabinet: 1 Glass Door, 15"" W x 36"" H",W1536GD,497,ONB-W1536GD,452,WHS-W1536GD,497,ESS-W1536GD,497,SIB-W1536GD,452,GRS-W1536GD,497,UPB-W1536GD,497,MSL-W1536GD,497,DGS-W1536GD,1
84,"Wall Cabinet: 1 Door, 18"" W x 36"" H",W1836,536,ONB-W1836,487,WHS-W1836,536,ESS-W1836,536,SIB-W1836,487,GRS-W1836,536,UPB-W1836,536,MSL-W1836,536,DGS-W1836,1
85,"Wall Cabinet: 1 Glass Door, 18"" W x 36"" H",W1836GD,573,ONB-W1836GD,521,WHS-W1836GD,573,ESS-W1836GD,573,SIB-W1836GD,521,GRS-W1836GD,573,UPB-W1836GD,573,MSL-W1836GD,573,DGS-W1836GD,1
86,"Wall Cabinet: 1 Door, 21"" W x 36"" H",W2136,565,ONB-W2136,514,WHS-W2136,565,ESS-W2136,565,SIB-W2136,514,GRS-W2136,565,UPB-W2136,565,MSL-W2136,565,DGS-W2136,1
87,"Wall Cabinet: 2 Doors, 24"" W x 36"" H",W2436,606,ONB-W2436,551,WHS-W2436,606,ESS-W2436,606,SIB-W2436,551,GRS-W2436,606,UPB-W2436,606,MSL-W2436,606,DGS-W2436,2
88,"Wall Cabinet: 2 Doors, 27"" W x 36"" H",W2736,648,ONB-W2736,589,WHS-W2736,648,ESS-W2736,648,SIB-W2736,589,GRS-W2736,648,UPB-W2736,648,MSL-W2736,648,DGS-W2736,2
89,"Wall Cabinet: 2 Doors, 30"" W x 36"" H",W3036,694,ONB-W3036,631,WHS-W3036,694,ESS-W3036,694,SIB-W3036,631,GRS-W3036,694,UPB-W3036,694,MSL-W3036,694,DGS-W3036,2
90,"Wall Cabinet: 2 Glass Doors, 30"" W x 36"" H",W3036GD,743,ONB-W3036GD,675,WHS-W3036GD,743,ESS-W3036GD,743,SIB-W3036GD,675,GRS-W3036GD,743,UPB-W3036GD,743,MSL-W3036GD,743,DGS-W3036GD,2
91,"Wall Cabinet: 2 Doors, 33"" W x 36"" H",W3336,741,ONB-W3336,674,WHS-W3336,741,ESS-W3336,741,SIB-W3336,674,GRS-W3336,741,UPB-W3336,741,MSL-W3336,741,DGS-W3336,2
92,"Wall Cabinet: 2 Doors, 36"" W x 36"" H",W3636,771,ONB-W3636,701,WHS-W3636,771,ESS-W3636,771,SIB-W3636,701,GRS-W3636,771,UPB-W3636,771,MSL-W3636,771,DGS-W3636,2
93,"Wall Cabinet: 2 Glass Doors, 36"" W x 36"" H",W3636GD,825,ONB-W3636GD,750,WHS-W3636GD,825,ESS-W3636GD,825,SIB-W3636GD,750,GRS-W3636GD,825,UPB-W3636GD,825,MSL-W3636GD,825,DGS-W3636GD,2
94,"Wall Cabinet: 2 Doors, 42"" W x 36"" H",W4236,818,ONB-W4236,744,WHS-W4236,818,ESS-W4236,818,SIB-W4236,744,GRS-W4236,818,UPB-W4236,818,MSL-W4236,818,DGS-W4236,2
95,"Wall Cabinet: 1 Door, 9"" W x 42"" H",W0942,465,ONB-W0942,423,WHS-W0942,465,ESS-W0942,465,SIB-W0942,423,GRS-W0942,465,UPB-W0942,465,MSL-W0942,465,DGS-W0942,1
96,"Wall Cabinet: 1 Door, 12"" W x 42"" H",W1242,459,ONB-W1242,417,WHS-W1242,459,ESS-W1242,459,SIB-W1242,417,GRS-W1242,459,UPB-W1242,459,MSL-W1242,459,DGS-W1242,1
97,"Wall Cabinet: 1 Door, 15"" W x 42"" H",W1542,518,ONB-W1542,471,WHS-W1542,518,ESS-W1542,518,SIB-W1542,471,GRS-W1542,518,UPB-W1542,518,MSL-W1542,518,DGS-W1542,1
98,"Wall Cabinet: 1 Glass Door, 15"" W x 42"" H",W1542GD,554,ONB-W1542GD,504,WHS-W1542GD,554,ESS-W1542GD,554,SIB-W1542GD,504,GRS-W1542GD,554,UPB-W1542GD,554,MSL-W1542GD,554,DGS-W1542GD,1
99,"Wall Cabinet: 1 Door, 15"" W x 15"" H",W1515,396,ONB-W1515,360,WHS-W1515,396,ESS-W1515,396,SIB-W1515,360,GRS-W1515,396,UPB-W1515,396,MSL-W1515,396,DGS-W1515,1
100,"Wall Cabinet: 1 Glass Door, 15"" W x 15"" H",W1515GD,484,ONB-W1515GD,440,WHS-W1515GD,484,ESS-W1515GD,484,SIB-W1515GD,440,GRS-W1515GD,484,UPB-W1515GD,484,MSL-W1515GD,484,DGS-W1515GD,1
101,"Wall Cabinet: 1 Door, 18"" W x 15"" H",W1815,396,ONB-W1815,360,WHS-W1815,396,ESS-W1815,396,SIB-W1815,360,GRS-W1815,396,UPB-W1815,396,MSL-W1815,396,DGS-W1815,1
102,"Wall Cabinet: 1 Glass Door, 18"" W x 15"" H",W1815GD,484,ONB-W1815GD,440,WHS-W1815GD,484,ESS-W1815GD,484,SIB-W1815GD,440,GRS-W1815GD,484,UPB-W1815GD,484,MSL-W1815GD,484,DGS-W1815GD,1
103,"Wall Cabinet: 1 Door, 18"" W x 42"" H",W1842,565,ONB-W1842,514,WHS-W1842,565,ESS-W1842,565,SIB-W1842,514,GRS-W1842,565,UPB-W1842,565,MSL-W1842,565,DGS-W1842,1
104,"Wall Cabinet: 1 Glass Door, 18"" W x 42"" H",W1842GD,605,ONB-W1842GD,550,WHS-W1842GD,605,ESS-W1842GD,605,SIB-W1842GD,550,GRS-W1842GD,605,UPB-W1842GD,605,MSL-W1842GD,605,DGS-W1842GD,1
105,"Wall Cabinet: 1 Door, 21"" W x 15"" H",W2115,449,ONB-W2115,408,WHS-W2115,449,ESS-W2115,449,SIB-W2115,408,GRS-W2115,449,UPB-W2115,449,MSL-W2115,449,DGS-W2115,1
106,"Wall Cabinet: 1 Glass Door, 21"" W x 15"" H",W2115GD,537,ONB-W2115GD,488,WHS-W2115GD,537,ESS-W2115GD,537,SIB-W2115GD,488,GRS-W2115GD,537,UPB-W2115GD,537,MSL-W2115GD,537,DGS-W2115GD,1
107,"Wall Cabinet: 1 Door, 21"" W x 42"" H",W2142,641,ONB-W2142,583,WHS-W2142,641,ESS-W2142,641,SIB-W2142,583,GRS-W2142,641,UPB-W2142,641,MSL-W2142,641,DGS-W2142,1
108,"Wall Cabinet: 2 Doors, 24"" W x 15"" H",W2415,479,ONB-W2415,435,WHS-W2415,479,ESS-W2415,479,SIB-W2415,435,GRS-W2415,479,UPB-W2415,479,MSL-W2415,479,DGS-W2415,2
109,"Wall Cabinet: 2 Glass Doors, 24"" W x 15"" H",W2415GD,567,ONB-W2415GD,515,WHS-W2415GD,567,ESS-W2415GD,567,SIB-W2415GD,515,GRS-W2415GD,567,UPB-W2415GD,567,MSL-W2415GD,567,DGS-W2415GD,2
110,"Wall Cabinet: 2 Doors, 24"" W x 42"" H",W2442,683,ONB-W2442,621,WHS-W2442,683,ESS-W2442,683,SIB-W2442,621,GRS-W2442,683,UPB-W2442,683,MSL-W2442,683,DGS-W2442,2
