row,A,B,C,D,E,F,G,H,I,J,L,M
17,,,,SUM('Unit Type (15)'!G71:G72),0,'Unit Type (15)'!C74,'Unit Type (15)'!C72,0,'Unit Type (15)'!I71,0,,
18,,,,SUM('Unit Type (16)'!G71:G72),0,'Unit Type (16)'!C74,'Unit Type (16)'!C72,0,'Unit Type (16)'!I71,0,,
19,,,,SUM('Unit Type (17)'!G71:G72),0,'Unit Type (17)'!C74,'Unit Type (17)'!C72,0,'Unit Type (17)'!I71,0,,
20,,,,SUM('Unit Type (18)'!G71:G72),0,'Unit Type (18)'!C74,'Unit Type (18)'!C72,0,'Unit Type (18)'!I71,0,,
21,,,,SUM('Unit Type (19)'!G71:G72),0,'Unit Type (19)'!C74,'Unit Type (19)'!C72,0,'Unit Type (19)'!I71,0,,
22,,,,SUM('Unit Type (20)'!G71:G72),0,'Unit Type (20)'!C74,'Unit Type (20)'!C72,0,'Unit Type (20)'!I71,0,You may hide any extra rows/columns of any extra unit types to make the document more succinct.,
23,,,,SUM('Unit Type (21)'!G71:G72),0,'Unit Type (21)'!C74,'Unit Type (21)'!C72,0,'Unit Type (21)'!I71,0,,
24,,,,SUM('Unit Type (22)'!G71:G72),0,'Unit Type (22)'!C74,'Unit Type (22)'!C72,0,'Unit Type (22)'!I71,0,,
25,,,,SUM('Unit Type (23)'!G71:G72),0,'Unit Type (23)'!C74,'Unit Type (23)'!C72,0,'Unit Type (23)'!I71,0,,
26,,,,SUM('Unit Type (24)'!G71:G72),0,'Unit Type (24)'!C74,'Unit Type (24)'!C72,0,'Unit Type (24)'!I71,0,,
27,,,,SUM('Unit Type (25)'!G71:G72),0,'Unit Type (25)'!C74,'Unit Type (25)'!C72,0,'Unit Type (25)'!I71,0,,
28,,,,SUM('Unit Type (26)'!G71:G72),0,'Unit Type (26)'!C74,'Unit Type (26)'!C72,0,'Unit Type (26)'!I71,0,,
29,,,,SUM('Unit Type (27)'!G71:G72),0,'Unit Type (27)'!C74,'Unit Type (27)'!C72,0,'Unit Type (27)'!I71,0,,
30,,,,SUM('Unit Type (28)'!G71:G72),0,'Unit Type (28)'!C74,'Unit Type (28)'!C72,0,'Unit Type (28)'!I71,0,,
31,,,,SUM('Unit Type (29)'!G71:G72),0,'Unit Type (29)'!C74,'Unit Type (29)'!C72,0,'Unit Type (29)'!I71,0,,
32,,,,SUM('Unit Type (30)'!G71:G72),0,'Unit Type (30)'!C74,'Unit Type (30)'!C72,0,'Unit Type (30)'!I71,0,,
33,,,,SUM('Unit Type (31)'!G71:G72),0,'Unit Type (31)'!C74,'Unit Type (31)'!C72,0,'Unit Type (31)'!I71,0,,
34,,,,SUM('Unit Type (32)'!G71:G72),0,'Unit Type (32)'!C74,'Unit Type (32)'!C72,0,'Unit Type (32)'!I71,0,,
35,,,,SUM('Unit Type (33)'!G71:G72),0,'Unit Type (33)'!C74,'Unit Type (33)'!C72,0,'Unit Type (33)'!I71,0,,
36,,,,SUM('Unit Type (34)'!G71:G72),0,'Unit Type (34)'!C74,'Unit Type (34)'!C72,0,'Unit Type (34)'!I71,0,,
37,,,,SUM('Unit Type (35)'!G71:G72),0,'Unit Type (35)'!C74,'Unit Type (35)'!C72,0,'Unit Type (35)'!I71,0,,
38,,,,SUM('Unit Type (36)'!G71:G72),0,'Unit Type (36)'!C74,'Unit Type (36)'!C72,0,'Unit Type (36)'!I71,0,,
39,,,,SUM('Unit Type (37)'!G71:G72),0,'Unit Type (37)'!C74,'Unit Type (37)'!C72,0,'Unit Type (37)'!I71,0,,
40,,,,SUM('Unit Type (38)'!G71:G72),0,'Unit Type (38)'!C74,'Unit Type (38)'!C72,0,'Unit Type (38)'!I71,0,,
41,,,,SUM('Unit Type (39)'!G71:G72),0,'Unit Type (39)'!C74,'Unit Type (39)'!C72,0,'Unit Type (39)'!I71,0,,
42,,,,SUM('Unit Type (40)'!G71:G72),0,'Unit Type (40)'!C74,'Unit Type (40)'!C72,0,'Unit Type (40)'!I71,0,,
43,,,,SUM('Unit Type (41)'!G71:G72),0,'Unit Type (41)'!C74,'Unit Type (41)'!C72,0,'Unit Type (41)'!I71,0,,
44,,,,SUM('Unit Type (42)'!G71:G72),0,'Unit Type (42)'!C74,'Unit Type (42)'!C72,0,'Unit Type (42)'!I71,0,,
45,,,,SUM('Unit Type (43)'!G71:G72),0,'Unit Type (43)'!C74,'Unit Type (43)'!C72,0,'Unit Type (43)'!I71,0,,
46,,,,SUM('Unit Type (44)'!G71:G72),0,'Unit Type (44)'!C74,'Unit Type (44)'!C72,0,'Unit Type (44)'!I71,0,,
47,,,,SUM('Unit Type (45)'!G71:G72),0,'Unit Type (45)'!C74,'Unit Type (45)'!C72,0,'Unit Type (45)'!I71,0,,
48,,,,SUM('Unit Type (46)'!G71:G72),0,'Unit Type (46)'!C74,'Unit Type (46)'!C72,0,'Unit Type (46)'!I71,0,,
49,,,,SUM('Unit Type (47)'!G71:G72),0,'Unit Type (47)'!C74,'Unit Type (47)'!C72,0,'Unit Type (47)'!I71,0,,
50,,,,SUM('Unit Type (48)'!G71:G72),0,'Unit Type (48)'!C74,'Unit Type (48)'!C72,0,'Unit Type (48)'!I71,0,,
51,,,,SUM('Unit Type (49)'!G71:G72),0,'Unit Type (49)'!C74,'Unit Type (49)'!C72,0,'Unit Type (49)'!I71,0,,
52,,,,SUM('Unit Type (50)'!G71:G72),0,'Unit Type (50)'!C74,'Unit Type (50)'!C72,0,'Unit Type (50)'!I71,0,,
54,,,SUM(C3:C41),Cabinets,SUM(E3:E53),SUM(F3:F52),,SUM(H3:H42),,SUM(J3:J53),,
55,,,,Handles,J54*M8,,,,,,,
56,,,,Build cost ,F54*M9,,,,,,Total Cabinets + Trim:,H54+F54
57,,,,Shipping ,C54*M10,based on a local delivery additional freight may be necessary ,,,,,,
58,,,,Total ,SUM(E54:E57),,,,,,,
60,,Cabinet Installation  ,,Total,,separate attachment,,,,,,
61,,,,Grand Total,E60+E58,,,,,,,
62,, 1)General Specifications:,,,,,,,,,,
63,, A. Door Material: HDF,, E. Drawer runner: SOLID WOOD DOVETAILED ,,,,,,,,
64,,"CONCATENATE(""B. Box Material: "", M4, "" with maple finish"")",, E.1. undermount softclose,,,,,,,,
65,, C. Shelves:   Plywood,,"CONCATENATE(""G. Door style: "",M3)",,,,,,,,
66,, D. Hinge: DTC soft close,,,,,,,,,,
